"Qty","Value","Device","Parts",
"2","MT41K256M16HA-125IT:E(DDR3L-1600_11-11-11)","H5TQ2G63BFR_MEM4G16D3EABG-125PHIS","U2, U3",
"1","MT3608(SOT23-6)","SY7208","U16",
"1","MTFC4GACAANA-4M_IT(TBGA100)","MTFC4GACAANA-4MIT","U24",
"4","NA","C-EUC0402_TI","C107, C108, C153, C154",
"5","NA","C-EUC0603_DWS","C71, C181, C183, C185, C188",
"1","NA","C-EUC1206_5MILS_WS_ISO","C93",
"2","NA","R-EU_R0402_SMALL","R12, R15",
"6","NA","R-EU_R0603_5MIL_DWS","R5, R22, R23, R49, R50, R153",
"11","NA(0R)","R-EU_R0402_TI","R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132",
"1","NA(0R)","R-EU_R0603_5MIL_DWS","R35",
"2","NA(2.2k/1%)","R-EU_R0603_5MIL_DWS","R13, R14",
"2","NA(2.2uF)","C-EUC0603_DWS","C116, C144",
"3","NA(2.2uF/6.3V)","C-EUC0603_DWS","C251, C253, C255",
"11","NA(10k)","R-EU_R0603_5MIL_DWS","R18, R19, R21, R26, R112, R113, R115, R116, R117, R121, R154",
"1","NA(10uF/6.3V)","C-EUC0603_DWS","C63",
"1","NA(22R)","R-EU_R0402_TI","R114",
"5","NA(22uF/6.3V)","C-EUC0603_DWS","C197, C213, C214, C215, C256",
"1","NA(47k)","R-EU_R0603_5MIL_DWS","R109",
"2","NA(47uF/6.3V)","C-EUC0805_5MIL_DWS","C130, C137",
"1","NA(100k/1%)","R-EU_R0603_5MIL_DWS","R79",
"4","NA(100nF)","C-EUC0603_DWS","C88, C89, C90, C233",
"3","NA(220nF)","C-EUC0402_TI","C250, C252, C254",
"2","NA(330R/1%)","R-EU_R0603_5MIL_DWS","R106, R107",
"1","NA(DW02S)","CON2DW02S","5V_PWR",
"3","NA(FB0805/600R/2A)","L-USL0805_5MIL_DWS","L2, L8, L10",
"1","NA(H27UBG8T2BTR_or_MT29F64G08CBABAWP:BTR(8GB_NAND))","H27UBG8T2A","U8",
"1","NA(HN1x2)","CON2HN1X2","BKUP",
"1","NA(HN1x2)","JP1E","MIC2",
"1","NA(KLMAG1JETD-B041003(FBGA153))","KLMAG2GEND-B031(FBGA153)","U26",
"1","NA(RA1206_(4X0603)_4B8_0R)","R_MATRIX_4E","RM2",
"3","NA(RCLAMP0524P)","RCLAMP0524PTEST","U17, U22, U23",
"1","NA(W25Q128FVSIG(SOIC-8_Wide))","W25Q16BVSSIG(SO-8)","U25",
"4","Open","SJSJ_SMALLER","5V_E, 5V_E_SATA, VPS+, VPS-",
"1","Opened","SJSJ_SMALLER","WP_ENABLE",
"2","PJ-W47S-05D2-LF_V2","AUDIO_JACK_5PINPJ-W47S-05D2-LF_V2","HEADPHONES, MIC_IN",
"1","PSD006A-LT2-BA0","SD_CARD_PSD006A-LT2-BA0","SD/MMC2",
"1","PWRJ-2mm(YDJ-1136)","PWR-JAKPWR_JACK_UNI_MILLING","PWR",
"1","Q24MHz/20pF/20ppm/2P/5.0x3.2mm","HC49/S_E4SB25.000F20E15","Q3",
"1","Q25MHz/20pF/20ppm/2P/5.0x3.2mm","HC49/S_E4SB25.000F20E15","Q1",
"1","Q32.768kHz/12.5pF/20ppm/4P/SMD8038","MC-306_MC-306-TEST","Q2",
"2","RA0805_(4X0402)_22R","R_MATRIX_4E_25X625","RM4, RM5",
"1","RA1206_(4X0603)_4B8_0R","R_MATRIX_4E","RM1",
"2","RA1206_(4X0603)_4B8_1.5k","R_MATRIX_4E","RM9, RM10",
"3","RA1206_(4X0603)_4B8_10k","R_MATRIX_4E","RM3, RM6, RM25",
"1","RA1206_(4X0603)_4B8_75R","R_MATRIX_4E","RM7",
"2","RA1206_(4X0603)_4B8_100K","R_MATRIX_4E","RM8, RM11",
"1","RJLBC-060TC1","RJLBC-060TC1_GND_MILLING","LAN",
"1","SATA-PWA-07","SATA-PWA-07""","SATA",
"10","SIDE_WTCM-TR(3X4)","SW-TAKTSIDE_WTCM-TR(3X4)","ENTER, ESC, HOME, MENU, PWR_BUT, RECOVERY, RESET, SEARCH, VOL+, VOL-",
"1","SMBJ26A","SMBJ16A","D5",
"3","SY6280AAC(SOT23-5)","SY6280","U9, U10, U11",
"2","SY8089AAAC(SOT23-5)","SY8008","U13, U15",
"1","T2(TFBGA441)","A10","U1",
"2","TESTPAD3","TESTPAD3","5V_EXT, GND_PIN",
"1","TESTPAD40/70","TESTPAD40/70","GND_EXT",
"11","TESTPADTESTPAD_40-ROUND","TESTPADTESTPAD_40-ROUND","+5V, 1.2V_CPU, 1.2V_INT, 1.5V, 2.5V, 3.0VA, 3.3V, BAT, DS, GND, IPSOUT",
"1","USB-OTG","MINI_USB9","USB_OTG",
"1","USB_TWO_LEVEL","USB_TWO_LEVEL","USB_HOST",
"1","WU06S","CON6","VGA",
