"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
64;"R27";"R_0402_5MIL_DWS";1;"200k/1%";;;
65;"R7,R9,R10";"R_0402_5MIL_DWS";3;"243R/1%";;;
66;"R13,R14";"R_0402_5MIL_DWS";2;"NA(243R/1%)";;;
67;"";"OLIMEX_LOGO_TB";1;"";;;
68;"";"LOGO_ANTISTATIC_1";1;"";;;
69;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
70;"";"LOGO_PBFREE";1;"";;;
71;"";"LOGO_RECYCLEBIN_1";1;"";;;
72;"3.3V/VCC-PE:2.8V1";"SJ_2_SMALL_12_TIED";1;"Opened(2-3);Closed(1-2)";;;
73;"PWRON1,RESET1,UBOOT1";"uTACTIL";3;"IT-1185AU2-160G-G-TR";;;
74;"R34,R62,R86,R87,R94";"R_0402_5MIL_0R(Board_Mounted)";5;"0R(Board_Mounted)";;;
75;"R36";"R_0603_5MIL_0R(Board_Mounted)";1;"0R(Board_Mounted)";;;
76;"C196";"C_1206_5MIL_DWS_ISO";1;"1nF/2kV/10%/X7R";;;
77;"C212,C213";"C_0603_5MIL_DWS";2;"27pF/50V/5%";;;
78;"Q4";"HCX-4S_2Pins_5.0x3.2mm";1;"E4SB25.000F20E15(25MHz/20pF/20ppm/5x3.2mm)";;;
79;"R115";"R_0603_5MIL_DWS";1;"12.1k/1%";;;
80;"R120";"R_0603_5MIL_DWS";1;"120R";;;
81;"RM8";"RA1206_(4X0603)_4B8_xx";1;"RA1206_(4x0603)_4B8_4.7k";;;
82;"RM15";"RA1206_(4X0603)_4B8_xx";1;"RA1206_(4x0603)_4B8_22R";;;
83;"D5";"SMA-KA";1;"1N4007/SMA";;;
84;"VR1";"SOT223";1;"AMS1117(ADJ)";;;
85;"U12";"SO-8_208mil";1;"NA(W25Q128FVSIG(EN25Q64-104HIP))";;;
86;"D1";"DO214AA";1;"SMBJ6.0A";;;
87;"+1.5V1,+1.8V1,+3.0VA1,+3.3VD1,+3.3VWiFiIO1,+5V_USBOTG1,1.1V_CPUS1,1.1V_CPUX1,1.1V_SYS1,3.0V_RTC1,3.3V1,3.3V_MIPI1,IPS1,VCC-PC1,VCC-PL1,1.25_EXT1,GND1";"TP_SMD";17;"TESTPAD";;;
88;"R59";"R_0402_5MIL_DWS";1;"47k";;;
89;"U10,U8,U7";"SLP2510P8";3;"NA(RCLAMP0524P(SLP2510P8))";;;
90;"U2,U3";"FBGA96(HYNIX_SAMSUNG_512MX16_DDR3)";2;"K4B4G1646Q-HYK0(FBGA-96_256Mx16_DDR3-1600_11-11-11)";;;
91;"HSIC1";"B4B-PH-K-S";1;"NA(B4B-PH-K-S)";;;
92;"GPIO1";"HN2x20";1;"NA(HN2x20)";;;
93;"U4";"TSOP48";1;"NA(H27UBG8T2BTR-BC(TSOP48))";;;
94;"U1";"FBGA396";1;"AllWinner-A64(FBGA396)";;;
95;"UEXT1";"HN2x5";1;"NA(HN2x5)";;;
96;"DBG_UART1";"HN1x3";1;"NA(HN1x3)";;;
97;"U14";"QFN68";1;"AXP803(QFN68_8x8mm)";;;
98;"LIPO_BAT1";"LIPO_BAT-CON2DW02R";1;"DW02R";;;
99;"LAN1";"TM211Q01FM22";1;"TM211Q01FM22";;;
100;"PHYRST1";"HN1x2_Jumper";1;"HN1x2(Opened)";;;
101;"U11";"RL-SM02BD(RTL8723BS)";1;"RTL8723BS(ComboModule)";;;
102;"MICRO_SD1";"TFC-WPAPR-08";1;"MICRO_SD(TFC-WPAPR-08)";;;
103;"MIPI-DSI1";"FPV-WZA21-20-LF";1;"FPV-WZA21-20-LF";;;
104;"U15";"QFN48_1DRILL(PADPITCH-0.5MM)";1;"KSZ9031RNXCC(QFN48_1DRILL(PADPITCH-0.5MM))";;;
105;"L18,L15,L17";"CD42(43)";3;"SWPA4018S1R5NT(1.5uH/3.35A/DCR<0.1R/CD43)";;;
106;"L14,L20,L19";"CD32";3;"SWPA3015S1R5NT(1.5uH/2.30A/DCR<0.1R/CD32)";;;
107;"USB-OTG1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MICRO_USB/MISB-SWMM-5B_LF";;;
108;"GNDA1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
109;"PWR1";"PWRJ-2mm(YDJ-1134)";1;"PWRJ-2mm(YDJ-1134)";;;
110;"Mounting_hole2,Mounting_hole3";"Mounting_hole_3.3mm_with_5.5mm_pad_no_inner_pads";2;"Mounting_hole";;;
111;"LINEINL/MICIN1N1,LINEINR/MICIN1P1,PWR_PC1";"SJ_2_SMALL";3;"Opened(2-3);Soldered(1-2)";;;
112;"PHONEOUTL/LINEOUTL1,PHONEOUTR/LINEOUTR1";"SJ_2_SMALL";2;"Soldered(1-2);Opened(2-3)";;;
113;"Mounting_hole4";"Mounting_hole_3.3mm";1;"Mounting_hole";;;
114;"CHGLED1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
115;"HEADPHONES/LINEOUT1,MIC/LINEIN1";"SCJ325P00XG0B02G";2;"SCJ325P00XG0B02G";;;
116;"R28";"R_0402_5MIL_DWS";1;"NA(1k)";;;
